Worksheet,Field,Required,Permissible Values,True Rejection ,Warning Layer,Resolved by QE/QCS
Quality Assurance,All Files,Yes,Rows should be not be displaced. Data in each row should match column header. ,Yes,,
Quality Assurance,All Files,Yes,"All correct column headers are present, even if field value is not required. Order of columns does not matter.",Yes,,
Quality Assurance,All Files,Yes,"PAT_MRN_ID, FACILITY_ID matches for a screening episode across all three files.",Yes,,
Screening,PAT_MRN_ID,Yes,Has a unique value per patient per facility. ,Yes,,
Screening,FACILITY_ID,Yes,Has a unique value per facility.,No,,Yes
Screening,ENCOUNTER_ID,No,Is unique per encounter for each PAT_MRN_ID.,No,,Yes
Screening,ENCOUNTER_CLASS_CODE_SYSTEM,Yes,Please see ENCOUNTER_CLASS_REFERENCE,Yes,,Yes
Screening,ENCOUNTER_CLASS_CODE,Yes,Please see ENCOUNTER_CLASS_REFERENCE,Yes,,Yes
Screening,ENCOUNTER_CLASS_CODE_DESCRIPTION,No,Please see ENCOUNTER_CLASS_REFERENCE,No,,Yes
Screening,ENCOUNTER_STATUS_CODE_SYSTEM,Yes,Please see ENCOUNTER_STATUS_REFERENCE,No,,Yes
Screening,ENCOUNTER_STATUS_CODE,Yes,Please see ENCOUNTER_STATUS_REFERENCE,No,Yes,Yes
Screening,ENCOUNTER_STATUS_CODE_DESCRIPTION,No,Please see ENCOUNTER_STATUS_REFERENCE,No,,Yes
Screening,ENCOUNTER_TYPE_CODE_SYSTEM,No,"SNOMED-CT or SNOMED, CPT",Yes,,
Screening,ENCOUNTER_TYPE_CODE,No,ENCOUNTER_TYPE REFERENCE,Yes,,
Screening,ENCOUNTER_TYPE_CODE_DESCRIPTION,No,ENCOUNTER_TYPE REFERENCE,No,,
Screening,SCREENING_STATUS_CODE,Yes,SCREENING_STATUS_REFERENCE,Yes,,Yes
Screening,SCREENING_STATUS_CODE_DESCRIPTION,No,SCREENING_STATUS_REFERENCE,No,,Yes
Screening,SCREENING_STATUS_CODE_SYSTEM,Yes,SCREENING_STATUS_REFERENCE,No,,Yes
Screening,SCREENING_CODE_DESCRIPTION,Yes,Accountable health communities (AHC) health-related social needs screening (HRSN) tool (96777-8) or Accountable health communities (AHC) health-related social needs (HRSN) supplemental questions or NYS AHC HRSN screening,Yes,,Yes
Screening,SCREENING_CODE_SYSTEM_NAME,Yes,LN or LOINC,Yes,,Yes
Screening,SCREENING_CODE,Yes,96777-8 or 97023-6,Yes,,Yes
Screening,RECORDED_TIME,Yes,Date Time- Format: YYYYMMDD HH:MM:SS YYYY is not before 2023.,Rejection if empty,,Can normalize to this format
Screening,QUESTION_CODE_DESCRIPTION,Yes,See CrossWalk,Yes,,
Screening,ANSWER_CODE_DESCRIPTION,Yes,See CrossWalk,Yes,,
Screening,UCUM_UNITS,No,See CrossWalk,No,,Yes
Screening,QUESTION_CODE,Yes,See CrossWalk,,Yes,Yes
Screening,QUESTION_CODE_SYSTEM_NAME,Yes,LN or LOINC,,Yes,Yes
Screening,ANSWER_CODE,Yes,Only LOINC codes,,Yes,Yes
Screening,ANSWER_CODE_SYSTEM_NAME,Yes,LN or LOINC,,Yes,Yes
Screening,PARENT_QUESTION_CODE,No,Should be blank for  AHC HRSN,No,, Confirm no data in parent question code
Screening,SDOH_DOMAIN,Yes,See CrossWalk,,Yes,Yes
Screening,POTENTIAL_NEED_INDICATED,Yes,"Yes/No/NA, Is only Yes if this is an underlined answer in AHC HRSN. Please see crosswalk.",No,,
Screening,ASSISTANCE_REQUESTED,No,Yes/No,Yes,,
Admin_Demographic,MPI_ID,Yes,unique per patient.,No,,Yes
Admin_Demographic,PAT_MRN_ID,Yes,Has a unique value per patient per facility. ,Yes,,
