Concept Name,Concept Code,Hierarchical Code,Race Category (Concept Name),Race Category (Concept Code),Hiearchical Code
American Indian or Alaska Native,1002-5,R1,Race,1000-9,R
Asian,2028-9,R2,Race,1000-9,R
Black or African American,2054-5,R3,Race,1000-9,R
Native Hawaiian or Other Pacific Islander,2076-8,R4,Race,1000-9,R
White,2106-3,R5,Race,1000-9,R
Other Race,2131-1,R9,Race,1000-9,R
American Indian,1004-1,R1.01,American Indian or Alaska Native,1002-5,R1
Abenaki,1006-6,R1.01.001,American Indian or Alaska Native,1002-5,R1
Algonquian,1008-2,R1.01.002,American Indian or Alaska Native,1002-5,R1
Apache,1010-8,R1.01.003,American Indian or Alaska Native,1002-5,R1
Chiricahua,1011-6,R1.01.003.001,American Indian or Alaska Native,1002-5,R1
Fort Sill Apache,1012-4,R1.01.003.002,American Indian or Alaska Native,1002-5,R1
Jicarilla Apache,1013-2,R1.01.003.003,American Indian or Alaska Native,1002-5,R1
Lipan Apache,1014-0,R1.01.003.004,American Indian or Alaska Native,1002-5,R1
Mescalero Apache,1015-7,R1.01.003.005,American Indian or Alaska Native,1002-5,R1
Oklahoma Apache,1016-5,R1.01.003.006,American Indian or Alaska Native,1002-5,R1
Payson Apache,1017-3,R1.01.003.007,American Indian or Alaska Native,1002-5,R1
San Carlos Apache,1018-1,R1.01.003.008,American Indian or Alaska Native,1002-5,R1
White Mountain Apache,1019-9,R1.01.003.009,American Indian or Alaska Native,1002-5,R1
Arapaho,1021-5,R1.01.004,American Indian or Alaska Native,1002-5,R1
Northern Arapaho,1022-3,R1.01.004.001,American Indian or Alaska Native,1002-5,R1
Southern Arapaho,1023-1,R1.01.004.002,American Indian or Alaska Native,1002-5,R1
Wind River Arapaho,1024-9,R1.01.004.003,American Indian or Alaska Native,1002-5,R1
Arikara,1026-4,R1.01.005,American Indian or Alaska Native,1002-5,R1
Assiniboine,1028-0,R1.01.006,American Indian or Alaska Native,1002-5,R1
Assiniboine Sioux,1030-6,R1.01.007,American Indian or Alaska Native,1002-5,R1
Fort Peck Assiniboine Sioux,1031-4,R1.01.007.001,American Indian or Alaska Native,1002-5,R1
Bannock,1033-0,R1.01.008,American Indian or Alaska Native,1002-5,R1
Blackfeet,1035-5,R1.01.009,American Indian or Alaska Native,1002-5,R1
Brotherton,1037-1,R1.01.010,American Indian or Alaska Native,1002-5,R1
Burt Lake Band,1039-7,R1.01.011,American Indian or Alaska Native,1002-5,R1
Caddo,1041-3,R1.01.012,American Indian or Alaska Native,1002-5,R1
Oklahoma Cado,1042-1,R1.01.012.001,American Indian or Alaska Native,1002-5,R1
Cahuilla,1044-7,R1.01.013,American Indian or Alaska Native,1002-5,R1
Agua Caliente Cahuilla,1045-4,R1.01.013.001,American Indian or Alaska Native,1002-5,R1
Augustine,1046-2,R1.01.013.002,American Indian or Alaska Native,1002-5,R1
Cabazon,1047-0,R1.01.013.003,American Indian or Alaska Native,1002-5,R1
Los Coyotes,1048-8,R1.01.013.004,American Indian or Alaska Native,1002-5,R1
Morongo,1049-6,R1.01.013.005,American Indian or Alaska Native,1002-5,R1
Santa Rosa Cahuilla,1050-4,R1.01.013.006,American Indian or Alaska Native,1002-5,R1
Torres-Martinez,1051-2,R1.01.013.007,American Indian or Alaska Native,1002-5,R1
California Tribes,1053-8,R1.01.014,American Indian or Alaska Native,1002-5,R1
Cahto,1054-6,R1.01.014.001,American Indian or Alaska Native,1002-5,R1
Chimariko,1055-3,R1.01.014.002,American Indian or Alaska Native,1002-5,R1
Coast Miwok,1056-1,R1.01.014.003,American Indian or Alaska Native,1002-5,R1
Digger,1057-9,R1.01.014.004,American Indian or Alaska Native,1002-5,R1
Kawaiisu,1058-7,R1.01.014.005,American Indian or Alaska Native,1002-5,R1
Kern River,1059-5,R1.01.014.006,American Indian or Alaska Native,1002-5,R1
Mattole,1060-3,R1.01.014.007,American Indian or Alaska Native,1002-5,R1
Red Wood,1061-1,R1.01.014.008,American Indian or Alaska Native,1002-5,R1
Santa Rosa,1062-9,R1.01.014.009,American Indian or Alaska Native,1002-5,R1
Takelma,1063-7,R1.01.014.010,American Indian or Alaska Native,1002-5,R1
Wappo,1064-5,R1.01.014.011,American Indian or Alaska Native,1002-5,R1
Yana,1065-2,R1.01.014.012,American Indian or Alaska Native,1002-5,R1
Yuki,1066-0,R1.01.014.013,American Indian or Alaska Native,1002-5,R1
Canadian and Latin American Indian,1068-6,R1.01.015,American Indian or Alaska Native,1002-5,R1
Canadian Indian,1069-4,R1.01.015.001,American Indian or Alaska Native,1002-5,R1
Central American Indian,1070-2,R1.01.015.002,American Indian or Alaska Native,1002-5,R1
French American Indian,1071-0,R1.01.015.003,American Indian or Alaska Native,1002-5,R1
Mexican American Indian,1072-8,R1.01.015.004,American Indian or Alaska Native,1002-5,R1
South American Indian,1073-6,R1.01.015.005,American Indian or Alaska Native,1002-5,R1
Spanish American Indian,1074-4,R1.01.015.006,American Indian or Alaska Native,1002-5,R1
Catawba,1076-9,R1.01.016,American Indian or Alaska Native,1002-5,R1
Cayuse,1078-5,R1.01.017,American Indian or Alaska Native,1002-5,R1
Chehalis,1080-1,R1.01.018,American Indian or Alaska Native,1002-5,R1
Chemakuan,1082-7,R1.01.019,American Indian or Alaska Native,1002-5,R1
Hoh,1083-5,R1.01.019.001,American Indian or Alaska Native,1002-5,R1
Quileute,1084-3,R1.01.019.002,American Indian or Alaska Native,1002-5,R1
Chemehuevi,1086-8,R1.01.020,American Indian or Alaska Native,1002-5,R1
Cherokee,1088-4,R1.01.021,American Indian or Alaska Native,1002-5,R1
Cherokee Alabama,1089-2,R1.01.021.001,American Indian or Alaska Native,1002-5,R1
Cherokees of Northeast Alabama,1090-0,R1.01.021.002,American Indian or Alaska Native,1002-5,R1
Cherokees of Southeast Alabama,1091-8,R1.01.021.003,American Indian or Alaska Native,1002-5,R1
Eastern Cherokee,1092-6,R1.01.021.004,American Indian or Alaska Native,1002-5,R1
Echota Cherokee,1093-4,R1.01.021.005,American Indian or Alaska Native,1002-5,R1
Etowah Cherokee,1094-2,R1.01.021.006,American Indian or Alaska Native,1002-5,R1
Northern Cherokee,1095-9,R1.01.021.007,American Indian or Alaska Native,1002-5,R1
Tuscola,1096-7,R1.01.021.008,American Indian or Alaska Native,1002-5,R1
United Keetowah Band of Cherokee,1097-5,R1.01.021.009,American Indian or Alaska Native,1002-5,R1
Western Cherokee,1098-3,R1.01.021.010,American Indian or Alaska Native,1002-5,R1
Cherokee Shawnee,1100-7,R1.01.022,American Indian or Alaska Native,1002-5,R1
Cheyenne,1102-3,R1.01.023,American Indian or Alaska Native,1002-5,R1
Northern Cheyenne,1103-1,R1.01.023.001,American Indian or Alaska Native,1002-5,R1
Southern Cheyenne,1104-9,R1.01.023.002,American Indian or Alaska Native,1002-5,R1
Cheyenne-Arapaho,1106-4,R1.01.024,American Indian or Alaska Native,1002-5,R1
Chickahominy,1108-0,R1.01.025,American Indian or Alaska Native,1002-5,R1
Eastern Chickahominy,1109-8,R1.01.025.001,American Indian or Alaska Native,1002-5,R1
Western Chickahominy,1110-6,R1.01.025.002,American Indian or Alaska Native,1002-5,R1
Chickasaw,1112-2,R1.01.026,American Indian or Alaska Native,1002-5,R1
Chinook,1114-8,R1.01.027,American Indian or Alaska Native,1002-5,R1
Clatsop,1115-5,R1.01.027.001,American Indian or Alaska Native,1002-5,R1
